zpid,regression_oof_log,regression_oof_price
1004447,12.284608311901371,216339.39
1009466,12.927558400017704,411496.57
1004565,12.964594439823468,427022.55
1010282,13.270599695634358,579892.47
1015118,13.082009878659335,480223.93
1001288,12.677109812892843,320329.9
1008850,13.199719489577449,540212.38
1011225,12.414992671567973,246468.29
1017439,13.495503189828625,726142.69
1001275,13.196399174009773,538421.68
1012290,12.978589209919678,433040.66
1001540,13.439993095007805,686932.72
1016448,12.780981358958691,355392.66
1016889,12.287280992808249,216918.37
1012830,12.563677635603177,285979.14
1004037,11.940779851121011,153395.27
1004070,12.714003794362661,332368.9
1003227,13.994602271479959,1196129.44
1005166,13.299913738585438,597143.1
1010000,14.142869559327831,1387298.43
1008634,12.286135735607042,216670.08
1009544,12.061949389989326,173155.21
1016046,12.244643692678817,207863.91
1011821,12.12650026530719,184701.23
1017357,14.004385011573243,1207888.3
1005032,13.626617209586891,827873.8
1012166,13.554986958015682,770646.97
1013331,13.197452207557935,538988.95
1015785,14.439882362524541,1867071.7
1015762,13.650857546293258,848186.96
1011795,13.040431419220862,460666.32
1013996,13.327252130270331,613693.26
1014270,12.329203224960846,226205.42
1002860,12.991950548275836,438865.5
1014880,12.315755524973438,223183.83
1007875,12.634438446616441,306948.48
1012002,12.851339494670565,381298.14
1008836,13.206212689003499,543731.51
1009886,12.860150448407532,384672.59
1003634,13.386175590904191,650940.85
1008459,13.999156865480824,1201589.75
1012882,12.632504923413926,306355.56
1013834,13.385347547544454,650402.06
1000817,13.736598765437503,924120.44
1003882,12.709297788229984,330808.44
1009092,12.532846001536344,277296.44
1007725,13.510488420665354,737106.06
1003868,12.298628137790622,219393.8
1007552,13.926240838045473,1117092.56
1007337,13.815974022402449,1000462.57
1009412,13.331843385862935,616517.36
1008840,12.035334198754981,168607.41
1007312,13.90766531229608,1096533.5
1014606,13.776466453173828,961707.29
1015248,13.803249870218313,987813.17
1005469,13.345915835202382,625254.62
1014719,13.943484922448047,1136522.87
1002756,13.049491654780175,464859.04
1007512,12.881052740687819,392797.78
1008893,13.363172356117841,636137.99
1004199,13.183105622708208,531311.49
1006843,13.177064479444914,528111.43
1001085,13.041677386496453,461240.66
1005698,12.560517268213731,285076.76
1000343,13.047893078243245,464116.52
1009345,13.27009042682373,579597.22
1003096,13.346417955380577,625568.65
1000827,13.404422559942315,662927.59
1004520,13.07273771696499,475791.79
1015078,12.999326346770028,442114.46
1010513,13.243101422017894,564163.65
1002609,12.883225165480082,393652.03
1004629,13.273512530908075,581584.07
1008559,12.791516580858282,359156.6
1015139,12.939189067747673,416310.5
1014995,12.99235936224907,439044.95
1017272,12.753975439464027,345923.37
1008337,13.890061556045248,1077399.29
1010362,13.216219657412514,549199.94
1007641,13.247520531029846,566662.27
1015748,12.897131450804908,399164.52
1008671,13.527157963347056,749496.28
1004283,12.621942061573188,303136.59
1006405,12.62433285033131,303862.19
1009801,13.248075032519154,566976.58
1009961,13.02685536735214,454454.54
1016338,12.022268005353894,166418.67
1010589,13.7307595014079,918739.97
1007537,13.846078863107584,1031039.31
1014533,13.371925440132033,641730.61
1000697,13.32721701118699,613671.7
1010649,13.463866377434236,703529.41
1006455,13.508313792464289,735504.86
1001852,13.211877192957294,546820.22
1009928,12.656896412175628,313919.93
1008021,11.88267803712652,144736.64
1014858,12.695256339092683,326195.86
1012445,12.513757494291072,272053.45
1009560,12.944699775929728,418611.01
1012266,12.740584461457034,341321.98
1013160,13.322933771849499,611048.82
1016121,13.55288490181727,769028.72
1008072,13.112474579105617,495078.97
1017130,13.316729592029256,607269.49
1015000,12.900532285431156,400524.33
1014778,13.37266599734595,642206.02
1002753,13.185555050074381,532614.5
1010327,12.080399827061944,176379.67
1007044,12.6045648959763,297914.42
1007064,12.370712160970609,235792.61
1014966,12.56467096540039,286263.35
1012652,13.077885601227015,478247.43
1006645,13.267350400833838,578011.28
1014979,12.0383644666306,169119.11
1012812,14.053760615051846,1269025.48
1006316,14.04023631565202,1251978.32
1014251,13.421450497654853,674312.56
1017485,12.020756491066464,166167.31
1012173,12.743997358211475,342488.87
1003500,13.156234978416169,517224.89
1006739,13.390449410524253,653728.81
1009250,13.05233963941982,466184.84
1002649,12.74232382719268,341916.18
1006154,13.582356558434581,792030.59
1015394,13.04611206659108,463290.66
1014643,13.327276277946035,613708.08
1013946,13.033335321279917,457408.95
1005941,12.777146613111775,354032.43
1013752,13.347976175433066,626544.19
1006530,13.481248799215647,715865.37
1003393,12.603849267955292,297701.3
1017203,13.642478576219037,841109.71
1007642,13.488999498097698,721435.4
1011838,12.373368933278227,236419.89
1008837,12.971604281826343,430026.43
1001707,13.117592461582,497619.22
1003359,13.875286134675255,1061597.27
1004130,13.289376901567437,590884.12
1002833,13.390399318319808,653696.06
1015261,13.873543245787982,1059748.64
1000974,13.081952894022304,480196.57
1016136,13.668801266654507,863543.98
1016221,11.713391420229007,122196.2
1006397,11.89714638659638,146845.98
1007713,13.242100841861953,563599.44
1000433,11.928256753228395,151486.25
1015132,13.847405025537988,1032407.55
1002797,12.17709261297686,194286.17
1007807,13.355913705212574,631537.2
1003326,12.020976261552592,166203.84
1010376,13.578978526986178,789359.6
1017417,13.499648026171041,729158.68
1012501,12.833749884421849,374649.88
1008766,12.329880877166673,226358.76
1003396,12.84030122764367,377112.4
1008737,13.339641111360512,621343.6
1002838,12.970901331019139,429724.25
1001082,12.989442464892354,437766.17
1012860,12.910006372185313,404336.97
1000429,12.950130686372,420890.64
1015592,12.244457388572465,207825.19
1002522,14.635513455979812,2270505.42
1012506,13.273369354762693,581500.8
1004162,13.580246328503717,790360.99
1003404,13.203923806871163,542488.39
1005503,13.229846892945222,556735.25
1005199,13.318206985808242,608167.33
1005350,12.907071789660739,403152.15
1008197,13.528388868369598,750419.4
1004865,13.06696076474601,473051.08
1014582,14.070883744198792,1290942.29
1002121,12.855204895822043,382774.87
1014854,12.368662721325551,235309.86
1002498,13.60076780305501,806747.95
1001074,12.309029141083286,221687.64
1004052,12.35418128905696,231926.78
1012536,13.232552088086347,558243.37
1005275,13.367751347711048,639057.54
1016100,12.219440318294737,202690.48
1012871,13.232300290922735,558102.83
1012304,11.468026348975071,95608.39
1009346,13.203378659737943,542192.73
1000061,12.879037393386081,392006.95
1003016,13.070391815909051,474676.93
1004050,13.00884829287141,446344.37
1001201,13.290995708812943,591841.43
1001988,12.574016034598968,288951.05
1008567,12.417694390651985,247135.08
1010676,12.402123960324282,243316.87
1010593,12.70745281578216,330198.67
1010199,12.4734691012784,261310.67
1011542,13.24285716750576,564025.87
1000196,12.494739161068335,266928.31
1006991,12.515607451789329,272557.2
1010062,14.21070367002142,1484669.87
1012577,13.269470963697625,579238.3
1005853,12.993761364057947,439660.93
1003680,12.846929521718186,379620.33
1002022,12.745852866129274,343124.95
1013534,12.786483128224415,357353.34
1006657,12.423248478668462,248511.51
1007150,13.225399569356064,554264.76
1006941,14.300826681640872,1624687.53
1007701,14.092930759188711,1319719.8
1004645,12.481117593998048,263316.97
1005081,12.90318339377734,401587.57
1003859,13.569766721773943,782121.55
1003211,13.109445233014815,493581.47
1006422,13.399223423777256,659489.88
1007531,12.445110670370008,254004.37
1005247,13.197346795894422,538932.14
1015220,12.816118670557357,368102.22
1015700,14.099952982016484,1329019.79
1014744,13.52781580193715,749989.49
1015607,13.360573670685648,634487.01
1014952,14.071281841993192,1291456.32
1016428,11.617536369985668,111026.85
1005571,13.748751852244176,935419.89
1014013,13.290715785738472,591675.78
1010971,14.034311503065743,1244582.51
1011842,13.144171130959482,511022.64
1009960,13.34940815331022,627442.03
1011654,12.431721542345407,250626.12
1005862,13.86898416272906,1054928.15
1003696,13.436507273669738,684542.36
1005163,13.191409247703007,535741.68
1017350,13.307775738916598,601856.35
1009915,12.94630677045092,419284.26
1003772,12.029315609370098,167595.67
1015500,13.486185107100308,719407.85
1016635,12.957887886335604,424168.27
1012500,13.804682573516395,989229.43
1009923,12.738101700642485,340475.61
1000271,13.173305533078157,526130.01
1014475,12.40091389160524,243022.61
1014163,12.383224326208172,238761.43
1012712,12.573776601382804,288881.87
1015526,12.242173189798343,207351.02
1015286,12.934951159690124,414549.95
1011812,13.543018883599082,761478.77
1010523,12.358489526994962,232928.13
1005995,13.192519736961234,536336.95
1010468,11.99965151077263,162697.08
1017236,12.759969305773453,348003.02
1012159,14.069436973352259,1289075.94
1001929,13.190429107286347,535216.83
1011854,14.041239100823072,1253234.42
1011878,13.143107024984808,510479.15
1002908,12.270025563490938,213207.44
1017469,13.361355404359191,634983.21
1017593,13.750048670564258,936633.74
1004328,13.78502452716798,969972.98
1007228,12.562263287410369,285574.95
1002897,13.785034919765488,969983.06
1007055,14.09118280789183,1317415.01
1002919,12.242879792102215,207497.58
1016256,13.76771317447127,953325.93
1012174,13.94095416911043,1133650.24
1008927,12.917741388329446,407476.66
1017147,12.411335114867867,245568.46
1011213,12.771337171950211,351981.65
1001005,13.2691324312238,579042.24
1011970,13.173236944752745,526093.93
1008056,12.339153219296202,228467.41
1014048,11.84742988250579,139723.78
1012632,12.743472533307653,342309.17
1002261,12.684817887982646,322808.58
1003454,13.158551338902424,518424.36
1008331,13.480659963184024,715443.97
1003689,12.780285490345443,355145.44
1000422,13.135459960931552,506590.36
1009688,13.37794394100091,645604.52
1007000,12.808291852632504,365232.39
1009765,12.825759762200004,371668.3
1005494,12.653299528194246,312792.82
1015771,12.59651755547036,295526.61
1013081,13.64054079076639,839481.4
1005936,13.050580496656252,465365.48
1014407,12.872985877774669,389641.87
1008585,14.011561163692209,1216587.47
1003629,12.731170499128783,338123.85
1002217,13.015332043814071,449247.76
1015101,12.65176130005591,312312.04
1008885,13.988756787811267,1189157.88
1010851,13.523515408594951,746771.16
1016903,13.023548337593605,452954.12
1016013,13.72041486692156,909284.92
1006041,12.95654164603667,423597.62
1003237,13.256442786023342,571740.81
1008896,12.182693744464995,195377.45
1004145,13.89804900544377,1086039.43
1008112,13.152936488616312,515521.63
1009139,13.459050912562137,700149.73
1004636,13.340818731424635,622075.73
1007705,13.231002392974776,557378.93
1011897,14.11235286894032,1345602.1
1015438,13.282167241172429,586639.36
1016353,12.92233475006747,409352.66
1015243,12.358769776352652,232993.42
1001800,13.077269172336182,477952.71
1011951,13.607877097083895,812503.8
1005905,12.818516249078984,368985.84
1005555,13.452919648949521,695870.05
1004817,14.297974725585428,1620060.59
1003991,13.386478908048929,651138.32
1013112,12.76166036537066,348592.01
1017026,12.756438989766192,346776.62
1013034,13.512146462246019,738329.22
1002697,12.612089879305454,300164.68
1011618,13.523338893809704,746639.35
1011332,12.611394274412309,299955.96
1008546,12.57652002361127,289675.49
1005697,13.145221437501462,511559.65
1000799,13.160095734960114,519225.63
1005743,13.332853002034538,617140.12
1015517,12.398140313531593,242349.5
1006278,12.46454270700192,258988.48
1011910,12.148627597312833,188833.75
1008305,13.035607309313608,458449.36
1014397,12.973394189613549,430796.83
1008213,13.10832832668663,493030.49
1008227,12.225558866851337,203934.46
1000414,13.377391371592706,645247.87
1003276,13.66630661486648,861392.42
1007407,12.908393766076495,403685.46
1003509,13.77617740605113,961429.35
1007996,12.69006222369036,324505.95
1008846,12.846130638014229,379317.17
1009214,13.24024503178296,562554.48
1006355,13.247481892913274,566640.38
1000401,13.641390533203177,840195.05
1002430,13.630310728467952,830937.22
1017031,12.722358210519841,335157.29
1013884,12.017942291955586,165700.34
1006544,13.257459864208771,572322.61
1012164,13.031357434159043,456505.14
1006815,13.111564736498407,494628.73
1015136,12.154584187170803,189961.92
1004770,13.77597612506818,961235.86
1005949,12.849233336158841,380495.91
1012654,12.96379002967976,426679.18
1001252,13.264081104095723,576124.68
1009677,11.997814674142575,162398.51
1002600,13.583033844123976,792567.21
1001908,11.818354419505717,135719.71
1000490,14.151873039491589,1399845.35
1005521,12.939637765919548,416497.34
1000393,12.760162855322946,348070.38
1009259,13.16851224779209,523614.15
1009270,13.380693186716936,647381.89
1014024,12.99444159359438,439960.1
1015231,12.996579494436064,440901.7
1001791,13.878302192490267,1064803.95
1005047,12.18664497394931,196150.97
1011959,12.821641336882532,370140.76
1011153,13.360363605113688,634353.74
