zpid,regression_pred_log,regression_pred_price
1009018,12.920384423212695,408555.06
1001436,13.303033914757942,599009.21
1010988,13.256839252200164,571967.53
1002184,12.574315016837012,289037.45
1015717,12.516281606090518,272741.01
1001346,13.468208627064895,706590.95
1006728,11.93268334907502,152158.31
1002644,12.640609228578793,308848.45
1009198,13.641095485862097,839947.19
1008339,13.274959266233282,582426.08
1017567,13.224070189674157,553528.42
1014281,13.49175647920202,723427.13
1016770,13.919312193422972,1109379.37
1007599,13.189489291128769,534714.06
1015766,12.023291163175749,166589.03
1011268,13.389482392882186,653096.95
1015728,12.493399516188186,266570.96
1005910,13.227692409124849,555537.06
1012305,11.872561911696291,143279.84
1000209,12.851618755791533,381404.64
1011855,13.539986568076575,759173.22
1012252,13.370096192710104,640557.8
1010211,12.25136585692164,209265.92
1006401,13.214004557233523,547984.75
1009723,13.474647939014906,711155.6
1013941,13.589485573825751,797697.17
1016219,13.27525953992864,582600.99
1009350,13.720599809692384,909453.1
1005071,13.68619161802988,878692.67
1010399,13.00958016786977,446671.15
1013189,12.23695016540216,206270.84
1003138,13.894780546619081,1082495.54
1015723,12.5346215993451,277789.25
1006247,13.052987181823703,466486.82
1007478,14.040664394770307,1252514.38
1003685,13.97262146491438,1170124.38
1004764,12.561145409727175,285255.89
1009233,13.06005565049138,469795.85
1010893,13.26827208839229,578544.28
1012091,14.20143292655111,1470969.47
1017092,14.059754277031857,1276654.44
1003069,12.120551706244123,183605.78
1012178,11.9976677309003,162374.65
1006136,12.404766353258172,243960.66
1003701,12.54202251319522,279852.77
1002491,13.232255934005963,558078.07
1012167,12.069981495443301,174551.62
1001683,13.990467425482201,1191193.84
1006785,12.401714579715591,243217.28
1014002,11.908649961511243,148545.0
1004666,12.870433607337908,388648.66
1016954,12.86305336985533,385790.89
1012772,13.025794609065315,453972.73
1010688,13.246678318792068,566185.22
1012968,12.739530667777721,340962.48
1001415,13.790274975734846,975079.17
1011748,13.26360270842055,575849.13
1007073,13.030604798713767,456161.69
1004221,11.608054702444868,109979.1
1010651,13.997058986970188,1199071.61
1005362,12.760748949943048,348274.44
1012256,12.806973973178795,364751.37
1000135,13.612048722899733,815900.34
1010219,12.760638694390153,348236.05
1000261,13.561710349132122,775845.79
1003779,12.975315952086387,431625.52
1007814,13.262291994537453,575094.85
1017541,12.595666054206383,295275.08
1008693,12.80611943004203,364439.81
1006051,13.183645273529478,531598.29
1012475,12.898331411553688,399643.79
1010967,13.331156216737046,616093.86
1010153,12.710415520422046,331178.41
1007854,13.973055486459144,1170632.35
1001543,11.918488125066295,150013.63
1012709,12.85178483436311,381467.99
1011522,13.081692886453503,480071.73
1010467,12.730973574487216,338057.28
1016019,13.11502440617293,496342.95
1011087,13.307511950427699,601697.61
1011360,12.156039153692074,190238.51
1011923,13.354278170358883,630505.14
1013380,13.706643829082864,896848.93
1010592,13.434361423982502,683075.01
1011882,12.289841949859238,217474.6
1012814,12.997615789649188,441358.84
1017039,13.409948257347823,666600.87
1014089,12.949693539605278,420706.69
1004163,13.517468676957932,742269.25
1008400,12.575824488668617,289474.08
1015904,13.40972087877029,666449.32
1006975,13.128867320029098,503261.57
1001501,12.898431754553933,399683.9
1010533,12.73466982315808,339309.14
1007574,14.109899146172637,1342304.41
1006887,12.727621020964733,336925.82
1007117,13.518904442094392,743335.74
1015872,13.821434708883515,1005940.73
1000949,12.979570899749735,433465.98
1016984,12.173351656777797,193560.71
1008493,13.807779441519603,992297.69
1001066,13.220020477349587,551291.32
1014890,12.895945266978563,398691.32
1009150,12.837531717651759,376069.43
1015445,13.078338643268859,478464.14
1003773,12.995227059461786,440305.81
1000521,13.871216269903215,1057285.49
1009827,12.950542632699932,421064.06
1007448,13.501251634538342,730328.9
1004064,13.397115742167742,658101.35
1013351,12.611591272859414,300015.06
1007934,13.903027532438676,1091459.79
1005772,13.560501886266685,774908.78
1012467,13.63688611210557,836418.96
1009678,13.718187540374423,907261.9
1003903,13.336684786402866,619509.41
1007368,13.450576494972463,694241.43
1001019,12.969528161826421,429134.57
1015956,13.890115884838082,1077457.82
1007676,13.24026694555249,562566.8
1003862,13.06509903577082,472171.2
1009421,12.934147229524587,414216.81
1008790,12.359033911735828,233054.97
1016222,12.192866742664698,197375.18
1011510,13.115520667066075,496589.32
1003760,11.9711295914604,158122.17
1010095,13.187826181764397,533825.51
1016848,13.273894888808648,581806.48
1007981,13.64194702636763,840662.74
1001863,13.047276974049545,463830.66
1017279,13.158957665623028,518635.05
1000210,13.334404833669073,618098.57
1009220,13.32577862450411,612789.64
1000670,14.126497522357793,1364770.43
1011975,12.983104018621908,435000.18
1009650,12.622516435341527,303310.75
1012244,13.219962964379015,551259.62
1004490,13.79527877564335,979970.51
1008783,13.343575191853226,623792.83
1013050,12.281457341902062,215658.78
1014078,13.471987595842506,709266.19
1014560,13.114196557965505,495932.22
1011972,13.549684777366364,766571.67
1013813,11.667688351296103,116737.11
1016790,13.090834389735484,484480.43
1005284,12.04157335046337,169662.67
1013954,12.675016075534916,319659.92
1008243,13.173935140674566,526461.37
1005551,13.033246200199908,457368.19
1013022,12.54569163756728,280881.48
1009326,13.047424254505254,463898.98
1012559,12.792119977612376,359373.38
1016326,13.675748360603171,869564.0
1001392,12.972901641462236,430584.69
1008539,12.06320429338652,173372.64
1007707,13.161396063787992,519901.24
1011195,12.200123325156314,198812.67
1006858,11.580982102297147,107041.59
1012325,13.542445768637034,761042.48
1014033,13.355186873746575,631078.34
1002285,13.349866783896562,627729.86
1008722,13.627118239801089,828288.69
1005675,12.477356652510394,262328.51
1000444,12.665367883560283,316590.6
1007793,12.760009180262315,348016.9
1013869,13.088768621650832,483480.64
1002067,13.631120799062703,831610.61
1000680,12.930128942650073,412555.71
1014261,12.139888975436605,187190.79
1002004,11.917599088323371,149880.32
1014357,12.724092357081847,335739.01
1006564,12.643429090583016,309720.59
1012486,13.09556995782588,486780.17
1008327,12.670473308646255,318211.06
1014927,13.129394367891228,503526.88
1016358,13.189713885838332,534834.17
1004321,13.47603740759493,712144.42
1009489,13.231837494060528,557844.6
1012778,13.209846138340815,545710.72
1007474,14.259792700741034,1559369.39
1013121,12.872969471236267,389635.48
1016128,12.585420188168674,292265.16
1009970,12.877799939841791,391522.16
1012507,12.913506300141634,405754.61
1003514,13.262173823064654,575026.89
1008680,12.90309641383335,401552.64
1001048,13.371601397400962,641522.69
1009306,13.880825635116576,1067494.31
1002808,12.419718831682111,247635.9
1013767,13.1926233521687,536392.52
1003098,13.536811915373292,756766.93
1015467,13.837713074457195,1022449.83
1000732,13.19854940183992,539580.65
1012332,13.186026657610245,532865.74
1016463,12.194181586317685,197634.87
1008306,13.156591404209852,517409.27
1000082,12.370336939744293,235704.15
1016942,12.592638885151889,294382.58
1005131,12.387186338031977,239709.29
1012116,13.072125104299726,475500.4
1001352,12.353430457131147,231752.7
1010888,13.685348867451461,877952.46
1016602,13.345217238262226,624817.97
1004492,12.207637964295532,200312.31
1005418,13.42015756371147,673441.28
1013371,11.803100351389824,133665.12
1015183,12.863621432276162,386010.11
1005090,12.64214831270448,309324.16
1016445,13.408510257657396,665642.99
1011665,13.90964118857223,1098702.26
1008838,13.21283915769893,547346.5
1008874,13.605229507284335,810355.46
1012856,13.158527273959585,518411.88
1001188,12.972585640859734,430448.65
1001187,13.26814835423962,578472.7
1008604,12.278767244171311,215079.41
1014429,13.018198962449212,450537.57
1002847,13.238071447751354,561333.04
1001025,13.089369807415752,483771.39
1015817,13.870532118809036,1056562.39
1005642,13.098215663391306,488069.75
1006378,14.150657948433736,1398145.44
1001069,13.778015499179002,963198.18
1014222,12.900375837227195,400461.67
1016125,13.322500135754092,610783.9
1002759,12.508822040577666,270714.04
1011156,13.233660135668972,558862.28
1011969,12.929737740412566,412394.34
1001545,12.58353043860385,291713.38
1017127,12.700916173508135,328047.31
1002355,12.509897160557614,271005.25
1014169,13.15014463450871,514084.38
1008570,12.984700948615172,435695.4
1004005,13.980380706749532,1179238.98
1004894,13.309892105269075,603131.45
1012897,13.130687385074113,504178.37
1003477,13.000436411698725,442605.51
1016230,13.244519053196488,564964.0
1002997,12.72766153098447,336939.46
1009934,12.62369159097975,303667.4
1009074,13.690690703495658,882654.89
1017484,13.586934418372358,795664.71
1008101,13.37424447706817,643220.53
1002220,13.401161766374132,660769.44
1015864,13.511502131129273,737853.65
1014237,13.621938245953656,824009.25
1002982,13.065528665990858,472374.11
